experiment,folder,r_z,score
cases/spikeEvenVariance/experiments/experiment1,cases/spikeEvenVariance/experiments/experiment1/run3,1e-05,0.04100000000000037
cases/spikeEvenVariance/experiments/experiment5,cases/spikeEvenVariance/experiments/experiment5/run2,0.1,0.06099999999999994
cases/spikeEvenVariance/experiments/experiment6,cases/spikeEvenVariance/experiments/experiment6/run4,1.0,0.06299999999999972
cases/spikeEvenVariance/experiments/experiment0,cases/spikeEvenVariance/experiments/experiment0/run1,1e-06,0.07500000000000018
cases/spikeEvenVariance/experiments/experiment2,cases/spikeEvenVariance/experiments/experiment2/run5,0.0001,0.07899999999999974
cases/spikeEvenVariance/experiments/experiment4,cases/spikeEvenVariance/experiments/experiment4/run1,0.01,0.08800000000000008
cases/spikeEvenVariance/experiments/experiment3,cases/spikeEvenVariance/experiments/experiment3/run3,0.001,0.08899999999999952
cases/spikeEvenVariance/experiments/experiment6,cases/spikeEvenVariance/experiments/experiment6/run3,1.0,0.09299999999999997
cases/spikeEvenVariance/experiments/experiment3,cases/spikeEvenVariance/experiments/experiment3/run5,0.001,0.09799999999999986
cases/spikeEvenVariance/experiments/experiment1,cases/spikeEvenVariance/experiments/experiment1/run5,1e-05,0.09899999999999931
cases/spikeEvenVariance/experiments/experiment2,cases/spikeEvenVariance/experiments/experiment2/run3,0.0001,0.10000000000000053
cases/spikeEvenVariance/experiments/experiment5,cases/spikeEvenVariance/experiments/experiment5/run5,0.1,0.11399999999999988
cases/spikeEvenVariance/experiments/experiment3,cases/spikeEvenVariance/experiments/experiment3/run4,0.001,0.11799999999999944
cases/spikeEvenVariance/experiments/experiment4,cases/spikeEvenVariance/experiments/experiment4/run2,0.01,0.11800000000000033
cases/spikeEvenVariance/experiments/experiment1,cases/spikeEvenVariance/experiments/experiment1/run2,1e-05,0.13200000000000056
cases/spikeEvenVariance/experiments/experiment6,cases/spikeEvenVariance/experiments/experiment6/run2,1.0,0.14900000000000002
cases/spikeEvenVariance/experiments/experiment2,cases/spikeEvenVariance/experiments/experiment2/run2,0.0001,0.1490000000000009
cases/spikeEvenVariance/experiments/experiment4,cases/spikeEvenVariance/experiments/experiment4/run4,0.01,0.15199999999999925
cases/spikeEvenVariance/experiments/experiment2,cases/spikeEvenVariance/experiments/experiment2/run1,0.0001,0.15200000000000014
cases/spikeEvenVariance/experiments/experiment6,cases/spikeEvenVariance/experiments/experiment6/run5,1.0,0.15799999999999947
cases/spikeEvenVariance/experiments/experiment3,cases/spikeEvenVariance/experiments/experiment3/run2,0.001,0.16599999999999948
cases/spikeEvenVariance/experiments/experiment0,cases/spikeEvenVariance/experiments/experiment0/run4,1e-06,0.1769999999999996
cases/spikeEvenVariance/experiments/experiment5,cases/spikeEvenVariance/experiments/experiment5/run1,0.1,0.18299999999999983
cases/spikeEvenVariance/experiments/experiment2,cases/spikeEvenVariance/experiments/experiment2/run4,0.0001,0.19199999999999928
cases/spikeEvenVariance/experiments/experiment1,cases/spikeEvenVariance/experiments/experiment1/run4,1e-05,0.1930000000000005
cases/spikeEvenVariance/experiments/experiment5,cases/spikeEvenVariance/experiments/experiment5/run4,0.1,0.2060000000000004
cases/spikeEvenVariance/experiments/experiment5,cases/spikeEvenVariance/experiments/experiment5/run3,0.1,0.2290000000000001
cases/spikeEvenVariance/experiments/experiment4,cases/spikeEvenVariance/experiments/experiment4/run5,0.01,0.2320000000000011
cases/spikeEvenVariance/experiments/experiment6,cases/spikeEvenVariance/experiments/experiment6/run1,1.0,0.242
cases/spikeEvenVariance/experiments/experiment0,cases/spikeEvenVariance/experiments/experiment0/run3,1e-06,0.2649999999999997
cases/spikeEvenVariance/experiments/experiment0,cases/spikeEvenVariance/experiments/experiment0/run5,1e-06,0.26700000000000035
cases/spikeEvenVariance/experiments/experiment4,cases/spikeEvenVariance/experiments/experiment4/run3,0.01,0.31899999999999995
cases/spikeEvenVariance/experiments/experiment0,cases/spikeEvenVariance/experiments/experiment0/run2,1e-06,0.3389999999999995
cases/spikeEvenVariance/experiments/experiment1,cases/spikeEvenVariance/experiments/experiment1/run1,1e-05,0.44599999999999884
cases/spikeEvenVariance/experiments/experiment3,cases/spikeEvenVariance/experiments/experiment3/run1,0.001,0.548
cases/spikeEvenVariance/experiments/experiment7,cases/spikeEvenVariance/experiments/experiment7/run4,10.0,2.327
cases/spikeEvenVariance/experiments/experiment7,cases/spikeEvenVariance/experiments/experiment7/run3,10.0,2.486
cases/spikeEvenVariance/experiments/experiment7,cases/spikeEvenVariance/experiments/experiment7/run5,10.0,2.517
cases/spikeEvenVariance/experiments/experiment8,cases/spikeEvenVariance/experiments/experiment8/run2,100.0,2.5389999999999997
cases/spikeEvenVariance/experiments/experiment10,cases/spikeEvenVariance/experiments/experiment10/run4,10000.0,2.5500000000000003
cases/spikeEvenVariance/experiments/experiment9,cases/spikeEvenVariance/experiments/experiment9/run2,1000.0,2.5789999999999997
