,,score,score,score
,,mean,min,max
experiment,r_z,,,
cases/largeClass/experiments/experiment0,1e-06,0.0,0.0,0.0
cases/largeClass/experiments/experiment1,1e-05,0.0,0.0,0.0
cases/largeClass/experiments/experiment2,0.0001,0.0,0.0,0.0
cases/largeClass/experiments/experiment3,0.001,0.0,0.0,0.0
cases/largeClass/experiments/experiment4,0.01,0.0,0.0,0.0
cases/largeClass/experiments/experiment5,0.1,0.0,0.0,0.0
cases/largeClass/experiments/experiment6,1.0,0.05400000000000027,0.05400000000000027,0.05400000000000027
cases/largeClass/experiments/experiment10,10000.0,2.71,2.71,2.71
cases/largeClass/experiments/experiment7,10.0,2.71,2.71,2.71
cases/largeClass/experiments/experiment8,100.0,2.71,2.71,2.71
cases/largeClass/experiments/experiment9,1000.0,2.71,2.71,2.71
