0,10.07,0.1705,10.24,-0.0699,9.997,0.1518,10.22,0.1508,10.22,-0.06437,10,-0.0534,10.01,-0.0822,9.985,-0.07123,9.996,0.02712,10.09,-0.1779,9.889,-0.1354,9.932,0.06579,10.13,0.02855,10.1,-0.07008,9.997,-0.06802,9.999,0.0434,10.11,-0.01784,10.05,-0.1489,9.918,-0.04076,10.03,-0.01792,10.05,0.1917,10.26,0.1561,10.22,-0.06041,10.01,-0.02056,10.05,0.1053,10.17,0.03293,10.1,-0.03473,10.03,-0.004273,10.06,-0.04547,10.02,-0.02507,10.04,0.009722,10.08,-0.03078,10.04,0.07884,10.15,-0.09265,9.975,-0.1495,9.918,0.01393,10.08,0.06607,10.13,-0.06428,10,0.07176,10.14,0.0925,10.16,-0.05795,10.01,-0.1386,9.929,-0.01485,10.05,0.2323,10.3,-0.0361,10.03,-0.1194,9.948,-0.1884,9.879,-0.0195,10.05,0.07019,10.14,0.01325,10.08,0.04367,10.11,-0.1201,9.947,-0.09848,9.969,-0.132,9.935,-0.04293,10.02,0.1011,10.17,0.003183,10.07,0.1857,10.25,0.07706,10.14,0.04336,10.11,-0.2249,9.842,-0.1302,9.937,0.1167,10.18,0.01138,10.08,-0.07719,9.99,-0.05897,10.01,0.02412,10.09,0.05744,10.12,-0.1292,9.938,-0.2625,9.805,0.03429,10.1,-0.02723,10.04,-0.09174,9.975,-0.09128,9.976,0.03585,10.1,-0.005076,10.06,0.0001076,10.07,0.1021,10.17,-0.01698,10.05,-0.04208,10.03,-0.08126,9.986,0.06856,10.14,-0.143,9.924,-0.03652,10.03,0.08134,10.15,0.008776,10.08,-0.06021,10.01,0.1951,10.26,0.0313,10.1,0.01424,10.08,0.04401,10.11,-0.02754,10.04,0.06375,10.13,-0.09503,9.972,0.09716,10.16,-0.04905,10.02,0.1415,10.21,-0.03277,10.03,-0.1737,9.894,-9.936,0.1316,-10.24,-0.1723,-10.07,0,-10.09,-0.02303,-10.01,0.05722,-9.94,0.1277,-10.16,-0.09501,-10.06,0.004164,-10.34,-0.2735,-10.13,-0.06206,-9.957,0.1098,-10.09,-0.02056,-10.14,-0.07259,-10.05,0.01832,-9.969,0.09774,-10.04,0.02889,-9.966,0.1015,-10.12,-0.05612,-10.14,-0.07192,-9.923,0.1446,-10.05,0.01943,-9.945,0.1226,-9.984,0.08323,-10.07,-0.007098,-10.02,0.04994,-9.972,0.0956,-10.05,0.01697,-9.842,0.2252,-10.02,0.04525,-10.05,0.01997,-9.773,0.2943,-10.09,-0.02611,-10.02,0.04254,-9.912,0.1547,-10.06,0.002567,-9.983,0.08433,-10.15,-0.0838,-10.21,-0.1404,-10.1,-0.03452,-10.01,0.05467,-10,0.06399,-10.19,-0.1242,-9.888,0.1796,-10.12,-0.05091,-10,0.0645,-10.16,-0.09652,-9.994,0.07282,-9.89,0.1771,-10.12,-0.05401,-10.04,0.02887,-9.975,0.09249,-9.901,0.1658,-9.918,0.1488,-10.13,-0.06018,-10.04,0.02406,-10,0.06729,-9.997,0.07033,-10.1,-0.03477,-9.92,0.1467,-10.12,-0.05532,-9.896,0.1714,-9.992,0.07555,-10,0.06232,-10.11,-0.04207,-9.906,0.1608,-9.976,0.09107,-9.885,0.1826,-10.04,0.02438,-10.3,-0.2347,-9.981,0.08632,-10.04,0.02707,-10.18,-0.1095,-10.02,0.0514,-9.866,0.2015,-9.93,0.1377,-10.05,0.01718,-10.04,0.02665,-9.935,0.1319,-10.17,-0.1065,-10.06,0.008917,-9.86,0.2073,-9.961,0.1066,-9.969,0.09779,-10.1,-0.03428,-10.04,0.0267,-10.14,-0.06822,-9.939,0.1279,-10.03,0.03888,-9.912,0.1555,-9.992,0.07499,-9.861,0.2059,-10.19,-0.118,-10.16,-0.08877,-10.36,-0.2966,-9.823,0.2447,-10.02,0.05155,-10.1,-0.02786,-9.952,0.1157,-9.999,0.06868,-10.06,0.00982
0.502,9.563,0.6725,9.733,0.4321,9.493,0.6538,9.714,0.6529,9.713,0.4377,9.498,0.4486,9.509,0.4198,9.48,0.4308,9.491,0.5291,9.59,0.3241,9.385,0.3666,9.427,0.5678,9.628,0.5306,9.591,0.4319,9.492,0.434,9.495,0.5454,9.606,0.4842,9.545,0.3532,9.414,0.4613,9.522,0.4841,9.545,0.6937,9.754,0.6581,9.719,0.4416,9.502,0.4815,9.542,0.6073,9.668,0.535,9.595,0.4673,9.528,0.4978,9.558,0.4566,9.517,0.477,9.537,0.5118,9.572,0.4712,9.532,0.5809,9.641,0.4094,9.47,0.3526,9.413,0.516,9.576,0.5681,9.629,0.4377,9.498,0.5738,9.634,0.5945,9.655,0.4441,9.505,0.3634,9.424,0.4872,9.548,0.7343,9.795,0.4659,9.526,0.3826,9.443,0.3137,9.374,0.4825,9.543,0.5722,9.633,0.5153,9.576,0.5457,9.606,0.3819,9.442,0.4035,9.464,0.3701,9.431,0.4591,9.52,0.6031,9.664,0.5052,9.566,0.6877,9.748,0.5791,9.64,0.5454,9.606,0.2771,9.338,0.3718,9.432,0.6188,9.679,0.5134,9.574,0.4248,9.485,0.4431,9.504,0.5261,9.587,0.5595,9.62,0.3728,9.433,0.2395,9.3,0.5363,9.597,0.4748,9.535,0.4103,9.471,0.4108,9.471,0.5379,9.598,0.497,9.557,0.5021,9.563,0.6042,9.665,0.4851,9.546,0.4599,9.52,0.4208,9.481,0.5706,9.631,0.359,9.419,0.4655,9.526,0.5834,9.644,0.5108,9.571,0.4418,9.502,0.6971,9.758,0.5333,9.594,0.5163,9.577,0.546,9.607,0.4745,9.535,0.5658,9.626,0.407,9.468,0.5992,9.66,0.453,9.513,0.6435,9.704,0.4693,9.53,0.3283,9.389,-9.434,-0.3731,-9.738,-0.677,-9.565,-0.5047,-9.588,-0.5277,-9.508,-0.4475,-9.438,-0.377,-9.66,-0.5997,-9.561,-0.5005,-9.839,-0.7782,-9.627,-0.5668,-9.455,-0.3948,-9.586,-0.5253,-9.638,-0.5773,-9.547,-0.4864,-9.467,-0.407,-9.536,-0.4758,-9.464,-0.4032,-9.621,-0.5608,-9.637,-0.5766,-9.421,-0.3601,-9.546,-0.4853,-9.443,-0.3821,-9.482,-0.4215,-9.572,-0.5118,-9.515,-0.4548,-9.47,-0.4091,-9.548,-0.4877,-9.34,-0.2795,-9.52,-0.4594,-9.545,-0.4847,-9.271,-0.2104,-9.591,-0.5308,-9.523,-0.4622,-9.41,-0.35,-9.563,-0.5021,-9.481,-0.4204,-9.649,-0.5885,-9.706,-0.6451,-9.6,-0.5392,-9.511,-0.45,-9.501,-0.4407,-9.689,-0.6289,-9.386,-0.3251,-9.616,-0.5556,-9.501,-0.4402,-9.662,-0.6012,-9.492,-0.4319,-9.388,-0.3276,-9.619,-0.5587,-9.536,-0.4758,-9.473,-0.4122,-9.399,-0.3389,-9.416,-0.3559,-9.625,-0.5649,-9.541,-0.4806,-9.498,-0.4374,-9.495,-0.4344,-9.6,-0.5395,-9.418,-0.3579,-9.621,-0.56,-9.394,-0.3333,-9.49,-0.4291,-9.503,-0.4424,-9.607,-0.5468,-9.404,-0.3439,-9.474,-0.4136,-9.383,-0.3221,-9.541,-0.4803,-9.8,-0.7394,-9.479,-0.4184,-9.538,-0.4776,-9.675,-0.6142,-9.514,-0.4533,-9.364,-0.3032,-9.428,-0.367,-9.548,-0.4875,-9.539,-0.478,-9.433,-0.3728,-9.672,-0.6112,-9.556,-0.4958,-9.358,-0.2974,-9.459,-0.3981,-9.467,-0.4069,-9.599,-0.539,-9.539,-0.478,-9.633,-0.5729,-9.437,-0.3768,-9.526,-0.4658,-9.41,-0.3492,-9.49,-0.4297,-9.359,-0.2988,-9.683,-0.6227,-9.654,-0.5935,-9.862,-0.8013,-9.32,-0.26,-9.514,-0.4531,-9.593,-0.5326,-9.45,-0.389,-9.497,-0.436,-9.555,-0.4949
0.9539,9.108,1.124,9.279,0.884,9.038,1.106,9.26,1.105,9.259,0.8895,9.044,0.9005,9.055,0.8717,9.026,0.8826,9.037,0.981,9.135,0.7759,8.93,0.8185,8.973,1.02,9.174,0.9824,9.137,0.8838,9.038,0.8858,9.04,0.9973,9.152,0.936,9.09,0.805,8.959,0.9131,9.068,0.9359,9.09,1.146,9.3,1.11,9.264,0.8934,9.048,0.9333,9.088,1.059,9.214,0.9868,9.141,0.9191,9.074,0.9496,9.104,0.9084,9.063,0.9288,9.083,0.9636,9.118,0.9231,9.078,1.033,9.187,0.8612,9.016,0.8044,8.959,0.9678,9.122,1.02,9.174,0.8896,9.044,1.026,9.18,1.046,9.201,0.8959,9.05,0.8152,8.97,0.939,9.093,1.186,9.341,0.9178,9.072,0.8344,8.989,0.7655,8.92,0.9344,9.089,1.024,9.179,0.9671,9.122,0.9975,9.152,0.8337,8.988,0.8554,9.01,0.8219,8.976,0.9109,9.065,1.055,9.209,0.957,9.111,1.14,9.294,1.031,9.185,0.9972,9.152,0.729,8.883,0.8236,8.978,1.071,9.225,0.9652,9.12,0.8767,9.031,0.8949,9.049,0.978,9.132,1.011,9.166,0.8246,8.979,0.6914,8.846,0.9881,9.143,0.9266,9.081,0.8621,9.017,0.8626,9.017,0.9897,9.144,0.9488,9.103,0.954,9.108,1.056,9.21,0.9369,9.091,0.9118,9.066,0.8726,9.027,1.022,9.177,0.8108,8.965,0.9173,9.072,1.035,9.19,0.9626,9.117,0.8936,9.048,1.149,9.303,0.9852,9.14,0.9681,9.123,0.9979,9.152,0.9263,9.081,1.018,9.172,0.8588,9.013,1.051,9.205,0.9048,9.059,1.095,9.25,0.9211,9.076,0.7801,8.935,-8.982,-0.8273,-9.286,-1.131,-9.113,-0.9589,-9.136,-0.982,-9.056,-0.9017,-8.986,-0.8312,-9.208,-1.054,-9.109,-0.9548,-9.387,-1.232,-9.175,-1.021,-9.004,-0.8491,-9.134,-0.9795,-9.186,-1.032,-9.095,-0.9406,-9.016,-0.8612,-9.084,-0.93,-9.012,-0.8574,-9.169,-1.015,-9.185,-1.031,-8.969,-0.8143,-9.094,-0.9395,-8.991,-0.8363,-9.03,-0.8757,-9.12,-0.966,-9.063,-0.909,-9.018,-0.8633,-9.096,-0.942,-8.888,-0.7337,-9.068,-0.9137,-9.093,-0.939,-8.819,-0.6646,-9.139,-0.985,-9.071,-0.9164,-8.959,-0.8042,-9.111,-0.9564,-9.029,-0.8746,-9.197,-1.043,-9.254,-1.099,-9.148,-0.9934,-9.059,-0.9043,-9.049,-0.8949,-9.238,-1.083,-8.934,-0.7793,-9.164,-1.01,-9.049,-0.8944,-9.21,-1.055,-9.041,-0.8861,-8.936,-0.7819,-9.167,-1.013,-9.085,-0.9301,-9.021,-0.8664,-8.948,-0.7931,-8.965,-0.8101,-9.174,-1.019,-9.089,-0.9349,-9.046,-0.8916,-9.043,-0.8886,-9.148,-0.9937,-8.967,-0.8122,-9.169,-1.014,-8.942,-0.7875,-9.038,-0.8834,-9.051,-0.8966,-9.155,-1.001,-8.953,-0.7981,-9.022,-0.8679,-8.931,-0.7763,-9.089,-0.9345,-9.348,-1.194,-9.027,-0.8726,-9.086,-0.9318,-9.223,-1.068,-9.062,-0.9075,-8.912,-0.7574,-8.976,-0.8212,-9.096,-0.9417,-9.087,-0.9323,-8.982,-0.8271,-9.22,-1.065,-9.104,-0.95,-8.906,-0.7517,-9.007,-0.8523,-9.016,-0.8611,-9.148,-0.9932,-9.087,-0.9322,-9.182,-1.027,-8.985,-0.831,-9.075,-0.92,-8.958,-0.8034,-9.038,-0.8839,-8.908,-0.7531,-9.231,-1.077,-9.202,-1.048,-9.41,-1.256,-8.869,-0.7142,-9.062,-0.9074,-9.141,-0.9868,-8.998,-0.8433,-9.045,-0.8902,-9.104,-0.9491
1.36,8.7,1.531,8.87,1.291,8.63,1.512,8.851,1.511,8.85,1.296,8.635,1.307,8.646,1.278,8.617,1.289,8.628,1.388,8.727,1.183,8.522,1.225,8.564,1.426,8.765,1.389,8.728,1.29,8.629,1.292,8.631,1.404,8.743,1.343,8.682,1.212,8.551,1.32,8.659,1.343,8.682,1.552,8.891,1.517,8.856,1.3,8.639,1.34,8.679,1.466,8.805,1.393,8.732,1.326,8.665,1.356,8.695,1.315,8.654,1.335,8.674,1.37,8.709,1.33,8.669,1.439,8.778,1.268,8.607,1.211,8.55,1.374,8.713,1.427,8.766,1.296,8.635,1.432,8.771,1.453,8.792,1.303,8.642,1.222,8.561,1.346,8.685,1.593,8.932,1.324,8.663,1.241,8.58,1.172,8.511,1.341,8.68,1.431,8.77,1.374,8.713,1.404,8.743,1.24,8.579,1.262,8.601,1.229,8.568,1.318,8.657,1.462,8.801,1.364,8.703,1.546,8.885,1.438,8.777,1.404,8.743,1.136,8.475,1.23,8.569,1.477,8.816,1.372,8.711,1.283,8.622,1.302,8.641,1.385,8.724,1.418,8.757,1.231,8.57,1.098,8.437,1.395,8.734,1.333,8.672,1.269,8.608,1.269,8.608,1.396,8.735,1.355,8.694,1.361,8.7,1.463,8.802,1.344,8.683,1.318,8.657,1.279,8.618,1.429,8.768,1.217,8.556,1.324,8.663,1.442,8.781,1.369,8.708,1.3,8.639,1.556,8.895,1.392,8.731,1.375,8.714,1.405,8.744,1.333,8.672,1.424,8.763,1.265,8.604,1.458,8.797,1.311,8.65,1.502,8.841,1.328,8.667,1.187,8.526,-8.575,-1.236,-8.879,-1.54,-8.707,-1.368,-8.73,-1.391,-8.65,-1.311,-8.579,-1.24,-8.802,-1.463,-8.703,-1.364,-8.98,-1.641,-8.769,-1.43,-8.597,-1.258,-8.727,-1.388,-8.779,-1.44,-8.688,-1.349,-8.609,-1.27,-8.678,-1.339,-8.605,-1.266,-8.763,-1.424,-8.779,-1.44,-8.562,-1.223,-8.687,-1.348,-8.584,-1.245,-8.624,-1.284,-8.714,-1.375,-8.657,-1.318,-8.611,-1.272,-8.69,-1.351,-8.482,-1.143,-8.661,-1.322,-8.687,-1.348,-8.412,-1.073,-8.733,-1.394,-8.664,-1.325,-8.552,-1.213,-8.704,-1.365,-8.622,-1.283,-8.791,-1.452,-8.847,-1.508,-8.741,-1.402,-8.652,-1.313,-8.643,-1.304,-8.831,-1.492,-8.527,-1.188,-8.758,-1.419,-8.642,-1.303,-8.803,-1.464,-8.634,-1.295,-8.53,-1.191,-8.761,-1.422,-8.678,-1.339,-8.614,-1.275,-8.541,-1.202,-8.558,-1.219,-8.767,-1.428,-8.683,-1.344,-8.639,-1.3,-8.636,-1.297,-8.742,-1.402,-8.56,-1.221,-8.762,-1.423,-8.535,-1.196,-8.631,-1.292,-8.644,-1.305,-8.749,-1.41,-8.546,-1.207,-8.616,-1.277,-8.524,-1.185,-8.682,-1.343,-8.941,-1.602,-8.62,-1.281,-8.68,-1.341,-8.816,-1.477,-8.655,-1.316,-8.505,-1.166,-8.569,-1.23,-8.69,-1.351,-8.68,-1.341,-8.575,-1.236,-8.813,-1.474,-8.698,-1.359,-8.499,-1.16,-8.6,-1.261,-8.609,-1.27,-8.741,-1.402,-8.68,-1.341,-8.775,-1.436,-8.579,-1.24,-8.668,-1.329,-8.551,-1.212,-8.632,-1.293,-8.501,-1.162,-8.825,-1.486,-8.796,-1.456,-9.003,-1.664,-8.462,-1.123,-8.655,-1.316,-8.735,-1.396,-8.591,-1.252,-8.638,-1.299,-8.697,-1.358
