experiment,folder,r_z,score
cases/spikesEvenUniformNoise/experiments/experiment0,cases/spikesEvenUniformNoise/experiments/experiment0/run2,1e-06,0.6960000000000006
cases/spikesEvenUniformNoise/experiments/experiment2,cases/spikesEvenUniformNoise/experiments/experiment2/run3,0.0001,0.9050000000000002
cases/spikesEvenUniformNoise/experiments/experiment1,cases/spikesEvenUniformNoise/experiments/experiment1/run3,1e-05,2.085
cases/spikesEvenUniformNoise/experiments/experiment6,cases/spikesEvenUniformNoise/experiments/experiment6/run3,1.0,2.1660000000000004
cases/spikesEvenUniformNoise/experiments/experiment6,cases/spikesEvenUniformNoise/experiments/experiment6/run4,1.0,2.264
cases/spikesEvenUniformNoise/experiments/experiment1,cases/spikesEvenUniformNoise/experiments/experiment1/run2,1e-05,2.5129999999999995
cases/spikesEvenUniformNoise/experiments/experiment1,cases/spikesEvenUniformNoise/experiments/experiment1/run1,1e-05,2.698
cases/spikesEvenUniformNoise/experiments/experiment0,cases/spikesEvenUniformNoise/experiments/experiment0/run4,1e-06,2.813
cases/spikesEvenUniformNoise/experiments/experiment2,cases/spikesEvenUniformNoise/experiments/experiment2/run2,0.0001,2.985
cases/spikesEvenUniformNoise/experiments/experiment6,cases/spikesEvenUniformNoise/experiments/experiment6/run1,1.0,3.1490000000000005
cases/spikesEvenUniformNoise/experiments/experiment3,cases/spikesEvenUniformNoise/experiments/experiment3/run2,0.001,3.2520000000000002
cases/spikesEvenUniformNoise/experiments/experiment3,cases/spikesEvenUniformNoise/experiments/experiment3/run3,0.001,3.3699999999999997
cases/spikesEvenUniformNoise/experiments/experiment0,cases/spikesEvenUniformNoise/experiments/experiment0/run3,1e-06,3.3819999999999997
cases/spikesEvenUniformNoise/experiments/experiment4,cases/spikesEvenUniformNoise/experiments/experiment4/run3,0.01,3.415
cases/spikesEvenUniformNoise/experiments/experiment4,cases/spikesEvenUniformNoise/experiments/experiment4/run1,0.01,4.1240000000000006
cases/spikesEvenUniformNoise/experiments/experiment4,cases/spikesEvenUniformNoise/experiments/experiment4/run5,0.01,4.161
cases/spikesEvenUniformNoise/experiments/experiment3,cases/spikesEvenUniformNoise/experiments/experiment3/run1,0.001,4.2620000000000005
cases/spikesEvenUniformNoise/experiments/experiment10,cases/spikesEvenUniformNoise/experiments/experiment10/run3,10000.0,4.462
cases/spikesEvenUniformNoise/experiments/experiment10,cases/spikesEvenUniformNoise/experiments/experiment10/run4,10000.0,4.477
cases/spikesEvenUniformNoise/experiments/experiment2,cases/spikesEvenUniformNoise/experiments/experiment2/run4,0.0001,5.004
cases/spikesEvenUniformNoise/experiments/experiment2,cases/spikesEvenUniformNoise/experiments/experiment2/run5,0.0001,5.045
cases/spikesEvenUniformNoise/experiments/experiment8,cases/spikesEvenUniformNoise/experiments/experiment8/run5,100.0,5.088
cases/spikesEvenUniformNoise/experiments/experiment0,cases/spikesEvenUniformNoise/experiments/experiment0/run1,1e-06,5.49012
cases/spikesEvenUniformNoise/experiments/experiment8,cases/spikesEvenUniformNoise/experiments/experiment8/run2,100.0,5.578
cases/spikesEvenUniformNoise/experiments/experiment5,cases/spikesEvenUniformNoise/experiments/experiment5/run3,0.1,5.7842
cases/spikesEvenUniformNoise/experiments/experiment1,cases/spikesEvenUniformNoise/experiments/experiment1/run5,1e-05,6.06188
cases/spikesEvenUniformNoise/experiments/experiment5,cases/spikesEvenUniformNoise/experiments/experiment5/run5,0.1,6.2508
cases/spikesEvenUniformNoise/experiments/experiment9,cases/spikesEvenUniformNoise/experiments/experiment9/run4,1000.0,6.282400000000001
cases/spikesEvenUniformNoise/experiments/experiment6,cases/spikesEvenUniformNoise/experiments/experiment6/run5,1.0,6.3571
cases/spikesEvenUniformNoise/experiments/experiment5,cases/spikesEvenUniformNoise/experiments/experiment5/run2,0.1,6.393
cases/spikesEvenUniformNoise/experiments/experiment8,cases/spikesEvenUniformNoise/experiments/experiment8/run3,100.0,6.7738000000000005
cases/spikesEvenUniformNoise/experiments/experiment7,cases/spikesEvenUniformNoise/experiments/experiment7/run2,10.0,6.9598
cases/spikesEvenUniformNoise/experiments/experiment4,cases/spikesEvenUniformNoise/experiments/experiment4/run4,0.01,7.1164
cases/spikesEvenUniformNoise/experiments/experiment7,cases/spikesEvenUniformNoise/experiments/experiment7/run4,10.0,7.2593499999999995
cases/spikesEvenUniformNoise/experiments/experiment10,cases/spikesEvenUniformNoise/experiments/experiment10/run2,10000.0,7.3363000000000005
cases/spikesEvenUniformNoise/experiments/experiment7,cases/spikesEvenUniformNoise/experiments/experiment7/run1,10.0,7.354100000000001
cases/spikesEvenUniformNoise/experiments/experiment5,cases/spikesEvenUniformNoise/experiments/experiment5/run4,0.1,7.397
cases/spikesEvenUniformNoise/experiments/experiment10,cases/spikesEvenUniformNoise/experiments/experiment10/run1,10000.0,7.4214
cases/spikesEvenUniformNoise/experiments/experiment3,cases/spikesEvenUniformNoise/experiments/experiment3/run4,0.001,7.424
cases/spikesEvenUniformNoise/experiments/experiment9,cases/spikesEvenUniformNoise/experiments/experiment9/run1,1000.0,7.448300000000001
cases/spikesEvenUniformNoise/experiments/experiment8,cases/spikesEvenUniformNoise/experiments/experiment8/run4,100.0,7.5023
cases/spikesEvenUniformNoise/experiments/experiment4,cases/spikesEvenUniformNoise/experiments/experiment4/run2,0.01,7.668
cases/spikesEvenUniformNoise/experiments/experiment9,cases/spikesEvenUniformNoise/experiments/experiment9/run5,1000.0,7.7009
cases/spikesEvenUniformNoise/experiments/experiment5,cases/spikesEvenUniformNoise/experiments/experiment5/run1,0.1,7.790000000000001
cases/spikesEvenUniformNoise/experiments/experiment10,cases/spikesEvenUniformNoise/experiments/experiment10/run5,10000.0,7.888399999999999
cases/spikesEvenUniformNoise/experiments/experiment6,cases/spikesEvenUniformNoise/experiments/experiment6/run2,1.0,8.0368
cases/spikesEvenUniformNoise/experiments/experiment7,cases/spikesEvenUniformNoise/experiments/experiment7/run5,10.0,8.055
cases/spikesEvenUniformNoise/experiments/experiment0,cases/spikesEvenUniformNoise/experiments/experiment0/run5,1e-06,8.406000000000002
cases/spikesEvenUniformNoise/experiments/experiment8,cases/spikesEvenUniformNoise/experiments/experiment8/run1,100.0,8.4267
cases/spikesEvenUniformNoise/experiments/experiment7,cases/spikesEvenUniformNoise/experiments/experiment7/run3,10.0,8.480699999999999
cases/spikesEvenUniformNoise/experiments/experiment9,cases/spikesEvenUniformNoise/experiments/experiment9/run3,1000.0,8.489
cases/spikesEvenUniformNoise/experiments/experiment1,cases/spikesEvenUniformNoise/experiments/experiment1/run4,1e-05,8.751999999999999
cases/spikesEvenUniformNoise/experiments/experiment3,cases/spikesEvenUniformNoise/experiments/experiment3/run5,0.001,9.040999999999999
cases/spikesEvenUniformNoise/experiments/experiment2,cases/spikesEvenUniformNoise/experiments/experiment2/run1,0.0001,9.232
cases/spikesEvenUniformNoise/experiments/experiment9,cases/spikesEvenUniformNoise/experiments/experiment9/run2,1000.0,9.3479
