experiment,folder,r_z,score
cases/overlapping/experiments/experiment2,cases/overlapping/experiments/experiment2/run2,0.0001,0.14500000000000002
cases/overlapping/experiments/experiment9,cases/overlapping/experiments/experiment9/run1,1000.0,0.355
cases/overlapping/experiments/experiment7,cases/overlapping/experiments/experiment7/run1,10.0,0.3820000000000001
cases/overlapping/experiments/experiment1,cases/overlapping/experiments/experiment1/run4,1e-05,0.4299999999999997
cases/overlapping/experiments/experiment7,cases/overlapping/experiments/experiment7/run4,10.0,0.53
cases/overlapping/experiments/experiment4,cases/overlapping/experiments/experiment4/run1,0.01,0.657
cases/overlapping/experiments/experiment6,cases/overlapping/experiments/experiment6/run3,1.0,0.6659999999999999
cases/overlapping/experiments/experiment8,cases/overlapping/experiments/experiment8/run3,100.0,0.7029999999999998
cases/overlapping/experiments/experiment9,cases/overlapping/experiments/experiment9/run2,1000.0,0.7729999999999999
cases/overlapping/experiments/experiment9,cases/overlapping/experiments/experiment9/run5,1000.0,0.8479999999999999
cases/overlapping/experiments/experiment2,cases/overlapping/experiments/experiment2/run1,0.0001,0.851
cases/overlapping/experiments/experiment10,cases/overlapping/experiments/experiment10/run1,10000.0,0.8880000000000001
cases/overlapping/experiments/experiment7,cases/overlapping/experiments/experiment7/run5,10.0,0.9279999999999999
cases/overlapping/experiments/experiment5,cases/overlapping/experiments/experiment5/run5,0.1,0.9649999999999999
cases/overlapping/experiments/experiment9,cases/overlapping/experiments/experiment9/run3,1000.0,0.9669999999999999
cases/overlapping/experiments/experiment0,cases/overlapping/experiments/experiment0/run4,1e-06,1.0079999999999996
cases/overlapping/experiments/experiment6,cases/overlapping/experiments/experiment6/run1,1.0,1.066
cases/overlapping/experiments/experiment0,cases/overlapping/experiments/experiment0/run1,1e-06,1.166
cases/overlapping/experiments/experiment0,cases/overlapping/experiments/experiment0/run3,1e-06,1.192
cases/overlapping/experiments/experiment2,cases/overlapping/experiments/experiment2/run4,0.0001,1.2
cases/overlapping/experiments/experiment1,cases/overlapping/experiments/experiment1/run2,1e-05,1.2369999999999997
cases/overlapping/experiments/experiment4,cases/overlapping/experiments/experiment4/run5,0.01,1.2529999999999997
cases/overlapping/experiments/experiment10,cases/overlapping/experiments/experiment10/run2,10000.0,1.3280000000000003
cases/overlapping/experiments/experiment6,cases/overlapping/experiments/experiment6/run5,1.0,1.3730000000000002
cases/overlapping/experiments/experiment2,cases/overlapping/experiments/experiment2/run5,0.0001,1.3930000000000002
cases/overlapping/experiments/experiment6,cases/overlapping/experiments/experiment6/run4,1.0,1.4800000000000004
cases/overlapping/experiments/experiment8,cases/overlapping/experiments/experiment8/run5,100.0,1.5144
cases/overlapping/experiments/experiment7,cases/overlapping/experiments/experiment7/run3,10.0,1.5999999999999999
cases/overlapping/experiments/experiment8,cases/overlapping/experiments/experiment8/run1,100.0,1.7731999999999997
cases/overlapping/experiments/experiment3,cases/overlapping/experiments/experiment3/run2,0.001,1.921
cases/overlapping/experiments/experiment5,cases/overlapping/experiments/experiment5/run3,0.1,2.025
cases/overlapping/experiments/experiment1,cases/overlapping/experiments/experiment1/run3,1e-05,2.083
cases/overlapping/experiments/experiment7,cases/overlapping/experiments/experiment7/run2,10.0,2.1045
cases/overlapping/experiments/experiment2,cases/overlapping/experiments/experiment2/run3,0.0001,2.1639999999999997
cases/overlapping/experiments/experiment3,cases/overlapping/experiments/experiment3/run5,0.001,2.2419999999999995
cases/overlapping/experiments/experiment5,cases/overlapping/experiments/experiment5/run1,0.1,2.2681999999999998
cases/overlapping/experiments/experiment8,cases/overlapping/experiments/experiment8/run4,100.0,2.7232
cases/overlapping/experiments/experiment10,cases/overlapping/experiments/experiment10/run4,10000.0,2.91885
cases/overlapping/experiments/experiment10,cases/overlapping/experiments/experiment10/run5,10000.0,2.9556
cases/overlapping/experiments/experiment3,cases/overlapping/experiments/experiment3/run1,0.001,3.0989999999999998
cases/overlapping/experiments/experiment8,cases/overlapping/experiments/experiment8/run2,100.0,3.5519999999999996
cases/overlapping/experiments/experiment0,cases/overlapping/experiments/experiment0/run5,1e-06,3.6289
cases/overlapping/experiments/experiment3,cases/overlapping/experiments/experiment3/run3,0.001,3.8197
cases/overlapping/experiments/experiment4,cases/overlapping/experiments/experiment4/run2,0.01,3.8619
cases/overlapping/experiments/experiment10,cases/overlapping/experiments/experiment10/run3,10000.0,5.082
cases/overlapping/experiments/experiment1,cases/overlapping/experiments/experiment1/run5,1e-05,5.276
cases/overlapping/experiments/experiment4,cases/overlapping/experiments/experiment4/run3,0.01,5.342
cases/overlapping/experiments/experiment1,cases/overlapping/experiments/experiment1/run1,1e-05,5.587
cases/overlapping/experiments/experiment9,cases/overlapping/experiments/experiment9/run4,1000.0,5.805999999999999
cases/overlapping/experiments/experiment0,cases/overlapping/experiments/experiment0/run2,1e-06,5.979
cases/overlapping/experiments/experiment5,cases/overlapping/experiments/experiment5/run2,0.1,5.983
cases/overlapping/experiments/experiment5,cases/overlapping/experiments/experiment5/run4,0.1,6.26
cases/overlapping/experiments/experiment3,cases/overlapping/experiments/experiment3/run4,0.001,6.3879
cases/overlapping/experiments/experiment6,cases/overlapping/experiments/experiment6/run2,1.0,6.5028
cases/overlapping/experiments/experiment4,cases/overlapping/experiments/experiment4/run4,0.01,6.7566
