experiment,folder,r_z,score
cases/spikeEvenLargeVariance/experiments/experiment9,cases/spikeEvenLargeVariance/experiments/experiment9/run2,1000.0,0.19700000000000006
cases/spikeEvenLargeVariance/experiments/experiment3,cases/spikeEvenLargeVariance/experiments/experiment3/run2,0.001,0.3210000000000006
cases/spikeEvenLargeVariance/experiments/experiment5,cases/spikeEvenLargeVariance/experiments/experiment5/run1,0.1,0.7170000000000005
cases/spikeEvenLargeVariance/experiments/experiment8,cases/spikeEvenLargeVariance/experiments/experiment8/run3,100.0,0.859
cases/spikeEvenLargeVariance/experiments/experiment1,cases/spikeEvenLargeVariance/experiments/experiment1/run1,1e-05,0.9500000000000002
cases/spikeEvenLargeVariance/experiments/experiment5,cases/spikeEvenLargeVariance/experiments/experiment5/run5,0.1,1.0099999999999998
cases/spikeEvenLargeVariance/experiments/experiment4,cases/spikeEvenLargeVariance/experiments/experiment4/run2,0.01,1.0739999999999998
cases/spikeEvenLargeVariance/experiments/experiment2,cases/spikeEvenLargeVariance/experiments/experiment2/run3,0.0001,1.1070000000000002
cases/spikeEvenLargeVariance/experiments/experiment0,cases/spikeEvenLargeVariance/experiments/experiment0/run1,1e-06,1.1860000000000004
cases/spikeEvenLargeVariance/experiments/experiment3,cases/spikeEvenLargeVariance/experiments/experiment3/run3,0.001,1.2239999999999993
cases/spikeEvenLargeVariance/experiments/experiment2,cases/spikeEvenLargeVariance/experiments/experiment2/run5,0.0001,1.2299999999999995
cases/spikeEvenLargeVariance/experiments/experiment6,cases/spikeEvenLargeVariance/experiments/experiment6/run1,1.0,1.327
cases/spikeEvenLargeVariance/experiments/experiment1,cases/spikeEvenLargeVariance/experiments/experiment1/run3,1e-05,1.4110000000000005
cases/spikeEvenLargeVariance/experiments/experiment5,cases/spikeEvenLargeVariance/experiments/experiment5/run2,0.1,1.6059999999999994
cases/spikeEvenLargeVariance/experiments/experiment1,cases/spikeEvenLargeVariance/experiments/experiment1/run2,1e-05,1.6479999999999997
cases/spikeEvenLargeVariance/experiments/experiment6,cases/spikeEvenLargeVariance/experiments/experiment6/run5,1.0,1.6490000000000005
cases/spikeEvenLargeVariance/experiments/experiment3,cases/spikeEvenLargeVariance/experiments/experiment3/run4,0.001,1.7120000000000006
cases/spikeEvenLargeVariance/experiments/experiment0,cases/spikeEvenLargeVariance/experiments/experiment0/run3,1e-06,1.732000000000001
cases/spikeEvenLargeVariance/experiments/experiment8,cases/spikeEvenLargeVariance/experiments/experiment8/run4,100.0,1.7430000000000003
cases/spikeEvenLargeVariance/experiments/experiment2,cases/spikeEvenLargeVariance/experiments/experiment2/run1,0.0001,1.7790000000000008
cases/spikeEvenLargeVariance/experiments/experiment3,cases/spikeEvenLargeVariance/experiments/experiment3/run1,0.001,1.8360000000000003
cases/spikeEvenLargeVariance/experiments/experiment6,cases/spikeEvenLargeVariance/experiments/experiment6/run3,1.0,1.9280000000000008
cases/spikeEvenLargeVariance/experiments/experiment1,cases/spikeEvenLargeVariance/experiments/experiment1/run5,1e-05,1.9530000000000012
cases/spikeEvenLargeVariance/experiments/experiment5,cases/spikeEvenLargeVariance/experiments/experiment5/run3,0.1,1.9850000000000003
cases/spikeEvenLargeVariance/experiments/experiment4,cases/spikeEvenLargeVariance/experiments/experiment4/run4,0.01,1.987000000000001
cases/spikeEvenLargeVariance/experiments/experiment7,cases/spikeEvenLargeVariance/experiments/experiment7/run2,10.0,2.0109999999999992
cases/spikeEvenLargeVariance/experiments/experiment7,cases/spikeEvenLargeVariance/experiments/experiment7/run4,10.0,2.0110000000000006
cases/spikeEvenLargeVariance/experiments/experiment0,cases/spikeEvenLargeVariance/experiments/experiment0/run5,1e-06,2.0660000000000007
cases/spikeEvenLargeVariance/experiments/experiment9,cases/spikeEvenLargeVariance/experiments/experiment9/run4,1000.0,2.14
cases/spikeEvenLargeVariance/experiments/experiment10,cases/spikeEvenLargeVariance/experiments/experiment10/run5,10000.0,2.17
cases/spikeEvenLargeVariance/experiments/experiment2,cases/spikeEvenLargeVariance/experiments/experiment2/run4,0.0001,2.184
cases/spikeEvenLargeVariance/experiments/experiment8,cases/spikeEvenLargeVariance/experiments/experiment8/run2,100.0,2.2580000000000005
cases/spikeEvenLargeVariance/experiments/experiment4,cases/spikeEvenLargeVariance/experiments/experiment4/run3,0.01,2.327
cases/spikeEvenLargeVariance/experiments/experiment7,cases/spikeEvenLargeVariance/experiments/experiment7/run1,10.0,2.3510000000000004
cases/spikeEvenLargeVariance/experiments/experiment6,cases/spikeEvenLargeVariance/experiments/experiment6/run2,1.0,2.430999999999999
cases/spikeEvenLargeVariance/experiments/experiment5,cases/spikeEvenLargeVariance/experiments/experiment5/run4,0.1,2.5949999999999998
cases/spikeEvenLargeVariance/experiments/experiment4,cases/spikeEvenLargeVariance/experiments/experiment4/run1,0.01,2.7220000000000004
cases/spikeEvenLargeVariance/experiments/experiment0,cases/spikeEvenLargeVariance/experiments/experiment0/run4,1e-06,2.7740000000000005
cases/spikeEvenLargeVariance/experiments/experiment3,cases/spikeEvenLargeVariance/experiments/experiment3/run5,0.001,2.779
cases/spikeEvenLargeVariance/experiments/experiment10,cases/spikeEvenLargeVariance/experiments/experiment10/run3,10000.0,2.8410000000000006
cases/spikeEvenLargeVariance/experiments/experiment10,cases/spikeEvenLargeVariance/experiments/experiment10/run4,10000.0,2.998
cases/spikeEvenLargeVariance/experiments/experiment6,cases/spikeEvenLargeVariance/experiments/experiment6/run4,1.0,3.0140000000000007
cases/spikeEvenLargeVariance/experiments/experiment9,cases/spikeEvenLargeVariance/experiments/experiment9/run3,1000.0,3.221
cases/spikeEvenLargeVariance/experiments/experiment4,cases/spikeEvenLargeVariance/experiments/experiment4/run5,0.01,3.2980000000000005
cases/spikeEvenLargeVariance/experiments/experiment8,cases/spikeEvenLargeVariance/experiments/experiment8/run1,100.0,3.472
cases/spikeEvenLargeVariance/experiments/experiment10,cases/spikeEvenLargeVariance/experiments/experiment10/run1,10000.0,3.5680000000000005
cases/spikeEvenLargeVariance/experiments/experiment9,cases/spikeEvenLargeVariance/experiments/experiment9/run1,1000.0,3.6100000000000003
cases/spikeEvenLargeVariance/experiments/experiment7,cases/spikeEvenLargeVariance/experiments/experiment7/run5,10.0,3.6390000000000002
cases/spikeEvenLargeVariance/experiments/experiment10,cases/spikeEvenLargeVariance/experiments/experiment10/run2,10000.0,3.745
cases/spikeEvenLargeVariance/experiments/experiment7,cases/spikeEvenLargeVariance/experiments/experiment7/run3,10.0,4.112
cases/spikeEvenLargeVariance/experiments/experiment9,cases/spikeEvenLargeVariance/experiments/experiment9/run5,1000.0,4.265
cases/spikeEvenLargeVariance/experiments/experiment8,cases/spikeEvenLargeVariance/experiments/experiment8/run5,100.0,8.073
cases/spikeEvenLargeVariance/experiments/experiment2,cases/spikeEvenLargeVariance/experiments/experiment2/run2,0.0001,8.929000000000002
cases/spikeEvenLargeVariance/experiments/experiment1,cases/spikeEvenLargeVariance/experiments/experiment1/run4,1e-05,12.176000000000002
cases/spikeEvenLargeVariance/experiments/experiment0,cases/spikeEvenLargeVariance/experiments/experiment0/run2,1e-06,13.354
