experiment,folder,r_z,score
cases/spikeEvenDifferentVariance/experiments/experiment4,cases/spikeEvenDifferentVariance/experiments/experiment4/run5,0.01,0.09999999999999964
cases/spikeEvenDifferentVariance/experiments/experiment3,cases/spikeEvenDifferentVariance/experiments/experiment3/run3,0.001,0.1039999999999992
cases/spikeEvenDifferentVariance/experiments/experiment2,cases/spikeEvenDifferentVariance/experiments/experiment2/run3,0.0001,0.10799999999999965
cases/spikeEvenDifferentVariance/experiments/experiment3,cases/spikeEvenDifferentVariance/experiments/experiment3/run1,0.001,0.12299999999999933
cases/spikeEvenDifferentVariance/experiments/experiment4,cases/spikeEvenDifferentVariance/experiments/experiment4/run2,0.01,0.14200000000000035
cases/spikeEvenDifferentVariance/experiments/experiment2,cases/spikeEvenDifferentVariance/experiments/experiment2/run1,0.0001,0.15200000000000014
cases/spikeEvenDifferentVariance/experiments/experiment1,cases/spikeEvenDifferentVariance/experiments/experiment1/run4,1e-05,0.17300000000000004
cases/spikeEvenDifferentVariance/experiments/experiment2,cases/spikeEvenDifferentVariance/experiments/experiment2/run4,0.0001,0.17799999999999905
cases/spikeEvenDifferentVariance/experiments/experiment5,cases/spikeEvenDifferentVariance/experiments/experiment5/run2,0.1,0.25700000000000056
cases/spikeEvenDifferentVariance/experiments/experiment0,cases/spikeEvenDifferentVariance/experiments/experiment0/run3,1e-06,0.2809999999999997
cases/spikeEvenDifferentVariance/experiments/experiment0,cases/spikeEvenDifferentVariance/experiments/experiment0/run2,1e-06,0.34999999999999964
cases/spikeEvenDifferentVariance/experiments/experiment5,cases/spikeEvenDifferentVariance/experiments/experiment5/run5,0.1,0.3869999999999987
cases/spikeEvenDifferentVariance/experiments/experiment6,cases/spikeEvenDifferentVariance/experiments/experiment6/run5,1.0,0.42499999999999893
cases/spikeEvenDifferentVariance/experiments/experiment4,cases/spikeEvenDifferentVariance/experiments/experiment4/run4,0.01,0.44599999999999973
cases/spikeEvenDifferentVariance/experiments/experiment4,cases/spikeEvenDifferentVariance/experiments/experiment4/run3,0.01,0.4560000000000004
cases/spikeEvenDifferentVariance/experiments/experiment3,cases/spikeEvenDifferentVariance/experiments/experiment3/run4,0.001,0.5829999999999993
cases/spikeEvenDifferentVariance/experiments/experiment0,cases/spikeEvenDifferentVariance/experiments/experiment0/run5,1e-06,0.5919999999999987
cases/spikeEvenDifferentVariance/experiments/experiment5,cases/spikeEvenDifferentVariance/experiments/experiment5/run1,0.1,0.5959999999999992
cases/spikeEvenDifferentVariance/experiments/experiment5,cases/spikeEvenDifferentVariance/experiments/experiment5/run4,0.1,0.6000000000000005
cases/spikeEvenDifferentVariance/experiments/experiment2,cases/spikeEvenDifferentVariance/experiments/experiment2/run2,0.0001,0.6900000000000004
cases/spikeEvenDifferentVariance/experiments/experiment5,cases/spikeEvenDifferentVariance/experiments/experiment5/run3,0.1,0.7299999999999995
cases/spikeEvenDifferentVariance/experiments/experiment6,cases/spikeEvenDifferentVariance/experiments/experiment6/run1,1.0,0.7629999999999999
cases/spikeEvenDifferentVariance/experiments/experiment1,cases/spikeEvenDifferentVariance/experiments/experiment1/run5,1e-05,0.8480000000000008
cases/spikeEvenDifferentVariance/experiments/experiment1,cases/spikeEvenDifferentVariance/experiments/experiment1/run3,1e-05,0.9940000000000007
cases/spikeEvenDifferentVariance/experiments/experiment6,cases/spikeEvenDifferentVariance/experiments/experiment6/run4,1.0,1.0590000000000002
cases/spikeEvenDifferentVariance/experiments/experiment3,cases/spikeEvenDifferentVariance/experiments/experiment3/run5,0.001,1.1999999999999993
cases/spikeEvenDifferentVariance/experiments/experiment1,cases/spikeEvenDifferentVariance/experiments/experiment1/run2,1e-05,1.4180000000000001
cases/spikeEvenDifferentVariance/experiments/experiment6,cases/spikeEvenDifferentVariance/experiments/experiment6/run3,1.0,1.42
cases/spikeEvenDifferentVariance/experiments/experiment4,cases/spikeEvenDifferentVariance/experiments/experiment4/run1,0.01,1.4260000000000002
cases/spikeEvenDifferentVariance/experiments/experiment0,cases/spikeEvenDifferentVariance/experiments/experiment0/run1,1e-06,1.427999999999999
cases/spikeEvenDifferentVariance/experiments/experiment1,cases/spikeEvenDifferentVariance/experiments/experiment1/run1,1e-05,1.4289999999999994
cases/spikeEvenDifferentVariance/experiments/experiment2,cases/spikeEvenDifferentVariance/experiments/experiment2/run5,0.0001,1.6969999999999996
cases/spikeEvenDifferentVariance/experiments/experiment6,cases/spikeEvenDifferentVariance/experiments/experiment6/run2,1.0,1.7720000000000002
cases/spikeEvenDifferentVariance/experiments/experiment9,cases/spikeEvenDifferentVariance/experiments/experiment9/run1,1000.0,1.7800000000000002
cases/spikeEvenDifferentVariance/experiments/experiment10,cases/spikeEvenDifferentVariance/experiments/experiment10/run5,10000.0,2.2520000000000002
cases/spikeEvenDifferentVariance/experiments/experiment8,cases/spikeEvenDifferentVariance/experiments/experiment8/run2,100.0,2.2700000000000005
cases/spikeEvenDifferentVariance/experiments/experiment7,cases/spikeEvenDifferentVariance/experiments/experiment7/run1,10.0,2.29
cases/spikeEvenDifferentVariance/experiments/experiment10,cases/spikeEvenDifferentVariance/experiments/experiment10/run4,10000.0,2.314
cases/spikeEvenDifferentVariance/experiments/experiment7,cases/spikeEvenDifferentVariance/experiments/experiment7/run3,10.0,2.3230000000000004
cases/spikeEvenDifferentVariance/experiments/experiment7,cases/spikeEvenDifferentVariance/experiments/experiment7/run4,10.0,2.37
cases/spikeEvenDifferentVariance/experiments/experiment10,cases/spikeEvenDifferentVariance/experiments/experiment10/run2,10000.0,2.454
cases/spikeEvenDifferentVariance/experiments/experiment3,cases/spikeEvenDifferentVariance/experiments/experiment3/run2,0.001,2.5250000000000004
cases/spikeEvenDifferentVariance/experiments/experiment0,cases/spikeEvenDifferentVariance/experiments/experiment0/run4,1e-06,2.578
cases/spikeEvenDifferentVariance/experiments/experiment8,cases/spikeEvenDifferentVariance/experiments/experiment8/run1,100.0,2.5789999999999997
cases/spikeEvenDifferentVariance/experiments/experiment9,cases/spikeEvenDifferentVariance/experiments/experiment9/run5,1000.0,2.6069999999999998
cases/spikeEvenDifferentVariance/experiments/experiment8,cases/spikeEvenDifferentVariance/experiments/experiment8/run5,100.0,2.627
cases/spikeEvenDifferentVariance/experiments/experiment9,cases/spikeEvenDifferentVariance/experiments/experiment9/run2,1000.0,2.643
cases/spikeEvenDifferentVariance/experiments/experiment7,cases/spikeEvenDifferentVariance/experiments/experiment7/run2,10.0,2.658
cases/spikeEvenDifferentVariance/experiments/experiment9,cases/spikeEvenDifferentVariance/experiments/experiment9/run3,1000.0,2.787
cases/spikeEvenDifferentVariance/experiments/experiment8,cases/spikeEvenDifferentVariance/experiments/experiment8/run3,100.0,3.215
cases/spikeEvenDifferentVariance/experiments/experiment10,cases/spikeEvenDifferentVariance/experiments/experiment10/run1,10000.0,3.245
cases/spikeEvenDifferentVariance/experiments/experiment9,cases/spikeEvenDifferentVariance/experiments/experiment9/run4,1000.0,3.2689999999999997
cases/spikeEvenDifferentVariance/experiments/experiment10,cases/spikeEvenDifferentVariance/experiments/experiment10/run3,10000.0,3.2840000000000003
cases/spikeEvenDifferentVariance/experiments/experiment7,cases/spikeEvenDifferentVariance/experiments/experiment7/run5,10.0,3.4629999999999996
cases/spikeEvenDifferentVariance/experiments/experiment8,cases/spikeEvenDifferentVariance/experiments/experiment8/run4,100.0,3.5620000000000003
